book_id,user_id,rating
1506,10,4
9606,11,3
3544,22,4
2320,24,3
9664,25,5
1451,36,4
9600,44,3
8188,51,5
8370,54,4
7462,55,5
4623,57,3
9671,60,5
6327,61,3
8696,62,4
9632,88,5
9203,92,3
9575,93,3
2833,95,5
9582,103,3
8994,104,4
6797,105,4
2867,109,3
9533,112,5
8353,121,4
2744,133,5
3222,140,5
3471,163,3
4998,166,4
8687,167,4
9927,170,4
2388,172,4
8051,179,4
4097,181,4
9178,183,3
6384,195,3
9171,203,4
3124,204,4
3048,219,4
7117,221,3
9425,222,4
3540,228,3
6552,229,3
524,233,5
9274,235,3
9566,243,4
8837,254,3
6148,263,1
8946,264,5
8258,266,4
8671,267,3
7211,268,4
9478,272,3
8295,275,4
9455,276,3
8592,279,3
9503,280,4
7889,285,4
6227,294,4
7968,295,3
4103,325,5
3753,332,4
932,335,4
7939,353,4
3903,367,3
4117,372,3
9595,373,5
7784,374,4
2982,378,5
8336,379,3
9772,385,3
9585,388,4
3471,390,4
6125,393,3
2436,396,3
6604,400,4
9299,402,3
843,403,4
2829,405,4
7783,406,5
9432,408,3
7771,412,4
2166,419,4
8974,421,4
2205,429,4
3211,432,3
5702,436,4
9833,441,4
8690,445,3
9716,455,5
1315,463,3
6327,483,4
6777,488,3
3794,494,3
9186,496,5
2290,499,5
9235,505,4
9542,510,3
6445,512,4
5914,520,3
9554,523,4
2290,526,4
9647,530,3
3525,534,3
9172,535,4
8492,536,4
2743,543,5
3149,547,3
9720,553,4
2462,564,3
4471,573,3
8409,582,2
7404,583,4
9226,586,5
3287,612,4
619,618,3
6957,619,4
7771,620,5
9034,623,4
5595,633,3
8537,635,2
6715,647,3
6604,648,4
8286,656,5
6957,671,5
7572,673,4
7706,677,3
7555,680,4
1822,681,2
6857,684,3
7921,689,4
9503,694,1
9191,698,4
9689,703,4
8519,711,4
1189,714,4
9631,731,1
6061,739,4
2829,748,4
3542,757,4
9168,758,5
9748,768,3
2540,769,5
9188,770,3
7779,771,3
1085,772,2
5286,774,4
1904,776,5
9441,777,3
4732,780,2
9589,785,4
5155,789,3
7366,798,3
4840,805,3
2651,806,4
9525,809,4
7298,812,4
9143,814,4
2672,815,5
7476,819,5
7236,824,5
9503,829,3
9023,838,3
3714,840,3
7794,844,2
3482,850,3
8654,851,4
1705,852,4
9552,861,3
8479,863,5
9707,869,4
8937,871,4
7356,873,4
6414,874,3
7193,877,4
9688,879,3
8277,892,4
7345,893,4
8972,905,4
8921,915,4
9204,916,4
9579,918,3
8588,926,3
9791,927,3
9516,933,3
2703,934,3
9623,935,2
8370,939,4
8532,942,3
8998,943,3
2310,947,5
990,948,5
5613,949,1
3591,954,3
8697,966,3
2865,973,4
8789,974,4
9076,975,5
9078,977,5
8654,978,3
4205,982,4
7810,1016,5
8480,1028,3
7333,1030,3
3986,1033,4
6038,1035,4
8361,1046,4
5422,1051,5
5400,1053,5
9668,1054,4
9566,1060,4
8295,1074,4
8787,1075,2
5380,1086,3
8956,1087,5
8949,1093,4
7706,1096,3
2527,1097,4
4531,1099,5
8747,1101,5
3368,1105,3
5019,1109,3
8580,1118,4
3421,1120,4
6937,1123,4
8929,1129,5
3493,1131,2
8839,1133,4
9691,1135,3
8443,1140,5
7648,1143,4
462,1145,5
8313,1149,4
8696,1160,5
9722,1164,3
3187,1166,4
9910,1177,3
8140,1178,3
9097,1181,5
2042,1195,3
5280,1201,5
2442,1202,3
8362,1213,4
8809,1222,4
8439,1234,2
3146,1244,2
9317,1246,3
7651,1252,4
9784,1254,4
3429,1267,4
4879,1269,4
9189,1275,5
7484,1281,5
8680,1287,4
7027,1293,5
3747,1300,5
8448,1302,4
8973,1305,3
9145,1310,4
2886,1312,4
9121,1319,5
7579,1320,5
9312,1332,5
9379,1333,3
8276,1334,3
7664,1335,1
8096,1341,1
7716,1346,4
6216,1347,2
1495,1358,5
7795,1365,4
9658,1371,3
8793,1376,3
1162,1383,3
7484,1387,4
6109,1395,2
3069,1398,3
3480,1399,4
3187,1404,3
9123,1406,4
3338,1409,5
1206,1411,4
3215,1413,2
9587,1425,5
8760,1438,4
9341,1457,3
1085,1458,4
9329,1460,5
8505,1471,4
1428,1479,4
7736,1481,5
9737,1485,3
3868,1489,5
6283,1493,3
9114,1501,3
9854,1503,3
7997,1507,5
9501,1508,4
1844,1510,5
7520,1512,4
9172,1513,5
9513,1515,4
4531,1520,5
9114,1526,4
7656,1528,4
7306,1530,3
2703,1532,4
9604,1535,4
4311,1536,3
2678,1537,4
7664,1538,4
9033,1540,5
9726,1543,4
8337,1553,2
9623,1554,5
6971,1563,4
7659,1572,4
9111,1574,5
9859,1578,4
6895,1581,3
8870,1582,5
4382,1588,5
7390,1589,5
9847,1594,5
6917,1595,3
9786,1602,3
9604,1603,4
8627,1606,5
1692,1609,5
9917,1621,3
8919,1632,3
4756,1636,3
7763,1643,4
4493,1644,2
7545,1646,3
1705,1647,4
7771,1661,3
9748,1666,5
4736,1670,4
6670,1681,2
9287,1685,3
9743,1686,4
7378,1687,1
5778,1690,4
1146,1693,4
9602,1697,3
2080,1703,4
1778,1721,4
7063,1725,5
8489,1731,4
9036,1732,3
9272,1738,3
9206,1741,4
2725,1746,4
9899,1751,5
9604,1755,3
462,1763,4
8792,1768,3
7481,1781,5
6597,1783,5
7810,1784,2
3479,1785,2
7771,1793,5
8858,1807,3
7795,1808,2
7347,1810,4
9163,1821,4
9711,1822,5
7430,1827,4
2865,1829,5
7630,1832,3
2169,1838,4
9047,1843,4
9276,1849,3
2280,1851,4
5179,1852,3
6905,1856,4
8412,1863,4
3526,1864,3
3399,1871,2
9820,1878,1
8801,1884,4
8516,1889,3
4152,1891,2
9078,1897,5
8819,1899,5
9645,1900,4
9436,1903,3
2878,1909,2
8766,1921,3
8118,1930,5
8923,1931,4
9270,1941,3
1349,1966,3
6846,1967,5
9837,1970,4
2926,1971,4
9777,1972,2
4012,1973,3
2867,1975,4
1035,1977,4
9070,1978,3
8619,1981,5
9230,1993,4
8753,2006,4
7372,2014,2
7814,2016,1
1703,2019,4
8561,2021,1
6802,2024,5
9688,2026,3
7198,2032,3
1085,2033,1
9851,2043,4
4012,2044,5
7105,2051,2
2097,2055,4
2020,2061,5
6617,2067,3
8211,2069,3
9519,2082,3
7727,2088,5
8891,2091,2
7944,2098,3
9653,2104,2
6795,2107,4
8689,2111,4
8214,2115,3
6956,2119,2
8672,2127,4
8638,2128,4
4427,2131,4
6094,2139,3
7831,2141,4
3196,2144,1
8919,2147,1
9764,2148,5
9175,2154,4
7066,2157,3
5317,2172,5
9885,2175,4
9273,2180,2
2637,2181,4
3567,2188,5
6809,2192,5
4212,2199,3
9814,2208,1
9631,2209,4
938,2214,2
2743,2221,3
8930,2223,5
3986,2224,4
1753,2226,4
8057,2227,4
7002,2232,4
8399,2234,4
9546,2238,4
9532,2241,5
8638,2243,5
9235,2247,3
2670,2250,5
6653,2259,4
2760,2261,3
9803,2263,1
9651,2266,3
9859,2280,3
7484,2282,3
8732,2292,5
7006,2301,4
8175,2311,4
1166,2312,5
6944,2319,5
9037,2325,3
1372,2328,5
9550,2333,4
8155,2344,5
9411,2349,3
9766,2351,5
9286,2354,5
7795,2356,3
9188,2357,5
4763,2367,5
6746,2373,4
9033,2379,2
6623,2380,1
2320,2381,4
9662,2385,3
3383,2391,4
1853,2394,3
1529,2398,3
9302,2402,3
8056,2405,3
7792,2406,5
9753,2408,4
4134,2409,3
9752,2411,2
8692,2414,4
2193,2415,2
9753,2420,5
1446,2426,3
6879,2429,4
9509,2442,4
8857,2444,3
8946,2450,5
3625,2461,5
7251,2466,4
8290,2474,2
3681,2476,4
9497,2481,4
9029,2482,4
7735,2495,3
9036,2497,5
1663,2500,3
7401,2505,4
9645,2506,4
9301,2512,5
7946,2513,4
1684,2516,4
8882,2518,3
776,2519,5
7806,2521,4
6917,2526,2
9001,2528,4
2080,2529,3
2162,2533,3
3987,2539,4
8819,2554,5
9110,2556,4
7794,2560,3
8315,2562,3
9033,2564,3
8654,2569,4
9191,2571,5
2205,2581,4
9187,2583,3
7935,2587,5
9320,2589,4
7818,2592,4
9107,2594,3
4139,2597,3
7868,2603,5
4681,2604,4
7355,2607,3
9405,2608,4
9006,2610,4
5062,2615,5
8369,2616,4
7812,2617,1
9018,2620,5
5833,2624,4
2080,2626,5
1853,2628,4
8896,2633,4
8450,2634,3
990,2636,4
9637,2640,5
7161,2643,4
7205,2650,3
8588,2654,3
8379,2664,4
3809,2671,4
8686,2673,2
8492,2676,3
9643,2678,3
8983,2679,4
8818,2681,4
8218,2682,5
3436,2688,5
8519,2696,4
9659,2700,4
3211,2703,4
7401,2705,5
2328,2709,4
9795,2711,4
8124,2716,4
2151,2723,4
9830,2725,1
5088,2732,4
4500,2734,4
4617,2741,4
9379,2744,3
9899,2745,4
9960,2759,3
3760,2762,5
776,2773,4
7795,2778,4
9827,2780,3
7401,2792,4
9070,2797,2
8372,2807,3
9081,2810,3
9508,2812,3
1926,2816,3
6782,2819,4
9243,2822,4
7306,2824,5
8692,2825,5
1141,2833,4
9355,2841,2
8480,2843,3
2818,2850,5
7898,2851,5
6500,2852,3
3599,2857,4
6927,2863,4
6606,2868,5
7603,2875,3
3516,2878,5
9078,2884,3
8107,2895,4
9444,2899,4
1206,2901,2
3134,2907,5
7651,2909,4
8637,2911,2
4706,2915,4
2921,2920,5
9478,2934,5
2545,2944,4
9462,2945,3
8723,2949,3
8937,2951,5
4012,2952,5
6828,2954,4
8692,2955,1
1960,2957,3
2946,2965,4
5698,2967,5
7429,2972,5
9281,2976,4
8417,2984,4
9263,2990,4
2961,3001,5
7114,3008,5
7606,3014,4
7868,3015,5
1810,3017,5
9731,3018,3
7980,3019,3
8141,3029,4
6938,3030,5
9429,3031,3
8376,3036,4
9429,3038,5
9430,3043,4
5794,3059,4
9172,3060,5
8382,3074,3
9476,3075,4
8271,3078,4
8886,3081,4
9273,3084,4
6702,3085,5
9984,3089,5
2323,3093,4
5860,3097,5
9049,3101,4
2988,3103,4
6591,3105,5
7967,3106,5
8457,3110,2
9378,3111,5
2837,3113,4
9957,3116,3
8628,3135,4
9054,3136,4
6750,3137,3
8422,3143,5
3361,3145,4
5158,3150,4
9835,3154,4
9795,3155,3
9022,3167,4
9323,3173,2
8622,3178,5
462,3179,5
9571,3180,5
8866,3182,4
5474,3185,4
4477,3188,3
2707,3193,3
7417,3202,4
7747,3203,5
2572,3208,4
8586,3210,4
9663,3214,5
9716,3223,3
7390,3226,5
8972,3228,4
2766,3229,4
9906,3251,4
9033,3252,2
2439,3253,3
6583,3254,4
2572,3264,4
9033,3267,3
9592,3271,4
7778,3273,3
5686,3281,3
7352,3283,3
6896,3294,5
5628,3299,3
3163,3305,4
3564,3306,4
3566,3307,4
3942,3308,4
8534,3310,3
3599,3319,3
2906,3320,5
2647,3331,2
9044,3332,4
7284,3344,3
3069,3346,2
9772,3349,3
9962,3358,4
4371,3367,3
3259,3371,3
